[2016-09-23 19:33:13,427]-INFO  (ContextLoader.java:189)|Root WebApplicationContext: initialization started
[2016-09-23 19:33:13,537]-INFO  (AbstractApplicationContext.java:412)|Refreshing org.springframework.web.context.support.XmlWebApplicationContext@62348bdc: display name [Root WebApplicationContext]; startup date [Fri Sep 23 19:33:13 CST 2016]; root of context hierarchy
[2016-09-23 19:33:13,625]-INFO  (XmlBeanDefinitionReader.java:323)|Loading XML bean definitions from file [F:\workspace\scpc\WebRoot\WEB-INF\classes\xml\spring\applicationContext.xml]
[2016-09-23 19:33:14,088]-INFO  (XmlBeanDefinitionReader.java:323)|Loading XML bean definitions from file [F:\workspace\scpc\WebRoot\WEB-INF\classes\xml\spring\applicationContext_base.xml]
[2016-09-23 19:33:14,120]-INFO  (XmlBeanDefinitionReader.java:323)|Loading XML bean definitions from file [F:\workspace\scpc\WebRoot\WEB-INF\classes\xml\spring\applicationContext_login.xml]
[2016-09-23 19:33:14,143]-INFO  (XmlBeanDefinitionReader.java:323)|Loading XML bean definitions from file [F:\workspace\scpc\WebRoot\WEB-INF\classes\xml\spring\applicationContext_xsgl.xml]
[2016-09-23 19:33:14,168]-INFO  (AbstractApplicationContext.java:427)|Bean factory for application context [org.springframework.web.context.support.XmlWebApplicationContext@62348bdc]: org.springframework.beans.factory.support.DefaultListableBeanFactory@58689880
[2016-09-23 19:33:14,342]-INFO  (PropertiesLoaderSupport.java:178)|Loading properties file from class path resource [ApplicationResources.properties]
[2016-09-23 19:33:14,428]-INFO  (DefaultListableBeanFactory.java:414)|Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@58689880: defining beans [messageSource,propertyConfigurer,dataSourceA,dataSource,sessionFactory,transactionIntercetorTemplate,hibernateTransactionInterceptor,jdbcTransactionInterceptor,autoProxy,nativeJdbcExtractor,lobHandler,baseDao,baseService,selectDataDao,selectDataService,loginAction,xsglAction,khxxManagerAction,ddInfoManagerAction,bomInfoManagerAction,gxInfoManagerAction,gyInfoManagerAction]; root of factory hierarchy
[2016-09-23 19:33:14,512]-INFO  (MLog.java:80)|MLog clients using log4j logging.
[2016-09-23 19:33:14,591]-INFO  (C3P0Registry.java:204)|Initializing c3p0-0.9.1.2 [built 21-May-2007 15:04:56; debug? true; trace: 10]
[2016-09-23 19:33:14,877]-INFO  (Environment.java:514)|Hibernate 3.2.5
[2016-09-23 19:33:14,884]-INFO  (Environment.java:547)|hibernate.properties not found
[2016-09-23 19:33:14,888]-INFO  (Environment.java:681)|Bytecode provider name : cglib
[2016-09-23 19:33:14,894]-INFO  (Environment.java:598)|using JDK 1.4 java.sql.Timestamp handling
[2016-09-23 19:33:14,988]-INFO  (LocalSessionFactoryBean.java:730)|Building new Hibernate SessionFactory
[2016-09-23 19:33:14,997]-INFO  (ConnectionProviderFactory.java:72)|Initializing connection provider: org.springframework.orm.hibernate3.LocalDataSourceConnectionProvider
